RTFORD WWTP WI US,20040513 04:00,50.0
COOP:473453,HARTFORD WWTP WI US,20040513 05:00,61.0
COOP:473453,HARTFORD WWTP WI US,20040514 04:00,56.0
COOP:473453,HARTFORD WWTP WI US,20040514 06:00,87.0
COOP:473453,HARTFORD WWTP WI US,20040514 08:00,89.0
COOP:473453,HARTFORD WWTP WI US,20040514 11:00,83.0
COOP:473453,HARTFORD WWTP WI US,20040514 12:00,34.0
COOP:473453,HARTFORD WWTP WI US,20040514 13:00,58.0
COOP:473453,HARTFORD WWTP WI US,20040517 23:00,83.0
COOP:473453,HARTFORD WWTP WI US,20040518 00:00,34.0
COOP:473453,HARTFORD WWTP WI US,20040518 12:00,40.0
COOP:473453,HARTFORD WWTP WI US,20040520 05:00,52.0
COOP:473453,HARTFORD WWTP WI US,20040520 06:00,87.0
COOP:473453,HARTFORD WWTP WI US,20040520 07:00,76.0
COOP:473453,HARTFORD WWTP WI US,20040521 09:00,65.0
COOP:473453,HARTFORD WWTP WI US,20040521 10:00,59.0
COOP:473453,HARTFORD WWTP WI US,20040521 18:00,47.0
COOP:473453,HARTFORD WWTP WI US,20040521 19:00,52.0
COOP:473453,HARTFORD WWTP WI US,20040521 20:00,78.0
COOP:473453,HARTFORD WWTP WI US,20040522 01:00,91.0
COOP:473453,HARTFORD WWTP WI US,20040522 02:00,79.0
COOP:473453,HARTFORD WWTP WI US,20040522 03:00,52.0
COOP:473453,HARTFORD WWTP WI US,20040522 06:00,63.0
COOP:473453,HARTFORD WWTP WI US,20040522 07:00,87.0
COOP:473453,HARTFORD WWTP WI US,20040522 08:00,41.0
COOP:473453,HARTFORD WWTP WI US,20040523 01:00,66.0
COOP:473453,HARTFORD WWTP WI US,20040523 04:00,60.0
COOP:473453,HARTFORD WWTP WI US,20040523 05:00,84.0
COOP:473453,HARTFORD WWTP WI US,20040523 07:00,44.0
COOP:473453,HARTFORD WWTP WI US,20040523 14:00,68.0
COOP:473453,HARTFORD WWTP WI US,20040529 11:00,86.0
COOP:473453,HARTFORD WWTP WI US,20040529 13:00,91.0
COOP:473453,HARTFORD WWTP WI US,20040530 12:00,91.0
COOP:473453,HARTFORD WWTP WI US,20040530 13:00,51.0
COOP:473453,HARTFORD WWTP WI US,20040530 19:00,68.0
COOP:473453,HARTFORD WWTP WI US,20040601 00:00,75.0
COOP:473453,HARTFORD WWTP WI US,20040601 01:00,58.0
COOP:473453,HARTFORD WWTP WI US,20040601 09:00,75.0
COOP:473453,HARTFORD WWTP WI US,20040603 12:00,71.0
COOP:473453,HARTFORD WWTP WI US,20040609 04:00,77.0
COOP:473453,HARTFORD WWTP WI US,20040609 05:00,91.0
COOP:473453,HARTFORD WWTP WI US,20040609 17:00,39.0
COOP:473453,HARTFORD WWTP WI US,20040609 18:00,40.0
COOP:473453,HARTFORD WWTP WI US,20040609 19:00,36.0
COOP:473453,HARTFORD WWTP WI US,20040609 20:00,59.0
COOP:473453,HARTFORD WWTP WI US,20040609 21:00,90.0
COOP:473453,HARTFORD WWTP WI US,20040609 22:00,61.0
COOP:473453,HARTFORD WWTP WI US,20040610 13:00,50.0
COOP:473453,HARTFORD WWTP WI US,20040610 17:00,89.0
COOP:473453,HARTFORD WWTP WI US,20040610 19:00,68.0
COOP:473453,HARTFORD WWTP WI US,20040610 21:00,63.0
COOP:473453,HARTFORD WWTP WI US,20040611 00:00,43.0
COOP:473453,HARTFORD WWTP WI US,20040611 02:00,42.0
COOP:473453,HARTFORD WWTP WI US,20040611 03:00,61.0
COOP:473453,HARTFORD WWTP WI US,20040611 06:00,44.0
COOP:473453,HARTFORD WWTP WI US,20040611 07:00,37.0
COOP:473453,HARTFORD WWTP WI US,20040612 01:00,48.0
COOP:473453,HARTFORD WWTP WI US,20040612 02:00,46.0
COOP:473453,HARTFORD WWTP WI US,20040613 13:00,63.0
COOP:473453,HARTFORD WWTP WI US,20040616 23:00,59.0
COOP:473453,HARTFORD WWTP WI US,20040617 00:00,48.0
COOP:473453,HARTFORD WWTP WI US,20040617 01:00,86.0
COOP:473453,HARTFORD WWTP WI US,20040623 11:00,57.0
COOP:473453,HARTFORD WWTP WI US,20040623 14:00,47.0
COOP:473453,HARTFORD WWTP WI US,20040623 21:00,49.0
COOP:473453,HARTFORD WWTP WI US,20040624 08:00,77.0
COOP:473453,HARTFORD WWTP WI US,20040624 10:00,55.0
COOP:473453,HARTFORD WWTP WI US,20040624 11:00,36.0
COOP:473453,HARTFORD WWTP WI US,20040628 01:00,35.0
COOP:473453,HARTFORD WWTP WI US,20040701 01:00,33.0
COOP:473453,HARTFORD WWTP WI US,20040705 17:00,60.0
COOP:473453,HARTFORD WWTP WI US,20040705 19:00,77.0
COOP:473453,HARTFORD WWTP WI US,20040706 09:00,46.0
COOP:473453,HARTFORD WWTP WI US,20040706 11:00,52.0
COOP:473453,HARTFORD WWTP WI US,20040709 16:00,66.0
COOP:473453,HARTFORD WWTP WI US,20040711 22:00,75.0
COOP:473453,HARTFORD WWTP WI US,20040716 16:00,80.0
COOP:473453,HARTFORD WWTP WI US,20040722 08:00,62.0
COOP:473453,HARTFORD WWTP WI US,20040730 10:00,41.0
COOP:473453,HARTFORD WWTP WI US,20040730 13:00,54.0
COOP:473453,HARTFORD WWTP WI US,20040801 01:00,55.0
COOP:473453,HARTFORD WWTP WI US,20040801 08:00,73.0
COOP:473453,HARTFORD WWTP WI US,20040801 09:00,57.0
COOP:473453,HARTFORD WWTP WI US,20040803 21:00,63.0
COOP:473453,HARTFORD WWTP WI US,20040803 22:00,56.0
COOP:473453,HARTFORD WWTP WI US,20040803 23:00,53.0
COOP:473453,HARTFORD WWTP WI US,20040809 03:00,73.0
COOP:473453,HARTFORD WWTP WI US,20040809 08:00,74.0
COOP:473453,HARTFORD WWTP WI US,20040812 11:00,57.0
COOP:473453,HARTFORD WWTP WI US,20040827 02:00,36.0
COOP:473453,HARTFORD WWTP WI US,20040828 18:00,47.0
COOP:473453,HARTFORD WWTP WI US,20040828 19:00,82.0
COOP:473453,HARTFORD WWTP WI US,20040901 01:00,65.0
